Time,Clone1,Clone2,Clone3
0.0280682403,0.9614544877,1.8576699757,1.4403809356
0.1243231664,1.0725709359,2.3604986189,0.6244200356
0.3120967111,1.5160003131,2.8273971657,1.5357737358
0.4840852714,1.8275881204,3.2687969343,0.633022033
0.6560939402,2.1530843521,3.7194689859,2.0434901879
0.8281327718,2.4994432204,4.1701410375,2.6090851735
1.0001716035,2.8458020888,4.6184950184,3.1837073801
1.1722271923,3.2037513108,5.0645309285,3.7165616225
1.3442727268,3.5547463207,5.5175210508,4.2822000082
1.5163115585,3.901105189,5.9844195976,4.8794083098
1.6883369844,4.2381917744,6.4457384164,5.4566432999
1.8735112577,4.4246640077,6.3685525825,6.0508774754
2.031738186,4.4630234901,6.9850720855,6.6621108364
2.2042912703,5.1650737557,7.4311079956,7.2775939937
2.1330010435,4.3934773782,7.884098118,7.849790671
2.3762376026,5.4474538717,8.3347701695,8.3795508276
2.54814908,5.7057260519,8.7854422211,8.9500475864
2.7200370974,5.9477717371,9.2361142727,9.5612809474
2.891894952,6.1689547855,9.6844682536,10.1640147156
3.063732698,6.3762294095,10.1328222344,10.7624986875
3.2355436325,6.5649594677,10.583494286,11.297314845
3.4073311071,6.7374630306,11.0341663376,11.8297836426
3.5790951217,6.8937400984,12.2698480576,11.2862886483
3.7508423792,7.0384268125,11.4639757526,12.0915431337
3.9373089661,7.2520086439,11.9313417407,11.6996760681
3.9656087042,7.8984523491,12.4426019137,13.035557493
4.094350353,7.3371093184,12.2567391881,13.632097238
4.0952255012,7.9424201394,12.7050931689,14.1958528396
4.265970203,7.3936725496,13.1580832913,14.7304669805
4.4376504319,7.4919978489,13.6064372721,15.2777690676
4.6093139037,7.5787327945,14.054791253,15.8154476701
4.7809606183,7.6538773865,14.5054633046,16.348106734
4.9526039815,7.7267039076,14.9538172854,16.8988462066
5.124233939,7.7902581459,15.3998531955,17.4511111994
5.2958504908,7.8445401012,15.8528433179,17.9643711609
5.4674569883,7.8918678442,16.3058334402,18.4243154955
5.639056783,7.9345594458,16.7495512796,18.8355803445
5.8106498748,7.9726149059,17.2048594727,19.1958476373
5.9822563723,8.019942649,17.648577312,20.4302733699
6.1538293555,8.0440896846,18.0969312929,19.5143896568
6.3254056901,8.070554791,18.5499214152,20.4295360559
6.4969920791,8.1039741097,18.8671277923,19.7958425444
6.6685516566,8.1188488624,18.8636345861,20.042524371
6.8532693111,7.9894931562,18.8628358292,20.2567532073
7.0111077718,7.7591624837,18.8673582924,20.4454832654
7.1163501383,7.7455836163,18.8628882924,20.6087145454
